회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
파워풀엑스,266870,생활용품 도매업,플렉스파워 리커버리크림,2017-04-24,12월,박인철,http://www.flexpower.co.kr,서울특별시
도부마스크,227420,기타 섬유제품 제조업,1) 마스크 도소매업 2) MB필터 생산 및 도소매업,2016-12-28,12월,김충범,http://www.dobumask.asia,서울특별시
피엔아이컴퍼니,242350,"영화, 비디오물, 방송프로그램 제작 및 배급업","3D 애니메이션, 3D VR 시뮬레이터 및 콘텐츠",2016-12-22,12월,신재중,http://www.pnicompany.com,제주특별자치도
셀젠텍,258250,소프트웨어 개발 및 공급업,"FOBI, C-Manager, S-Keeper",2016-12-13,12월,김회율,http://cellgentek.co.kr,충청북도
바이오프로테크,199290,의료용 기기 제조업,심전도 측정용 전극 등,2016-12-08,12월,"박익로,김병전 (공동대표이사)",http://www.protechsite.com,강원도
스템랩,258540,자연과학 및 공학 연구개발업,"줄기세포치료제, 화장품, 전자의료기기 등",2016-11-29,12월,대표이사 오동훈 대표이사 최종성,http://www.stemlab.co.kr,서울특별시
시큐센,232830,소프트웨어 개발 및 공급업,"모바일보안 및 보안 SI서비스, 생체인식기반의 바이오인증",2016-11-29,12월,대표이사 이정주,http://www.secucen.com,서울특별시
비플라이소프트,148780,소프트웨어 개발 및 공급업,"아이서퍼, 위고몬, 로제우스, 디지타이징 등",2016-11-16,12월,임경환,http://www.bflysoft.co.kr,서울특별시
굿센,243870,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","건설ERP, 공공클라우드",2016-10-31,12월,박연정,http://www.goodcen.com,서울특별시
안지오랩,251280,자연과학 및 공학 연구개발업,신약개발 및 체지방 감소 건강기능식품,2016-10-25,12월,김민영,http://www.angiolab.co.kr,대전광역시
블루탑,191600,전자부품 제조업,,2016-08-05,12월,김상봉,http://www.e-tkc.com,인천광역시
휴벡셀,212310,의료용 기기 제조업,척추용 임플란트 등,2016-07-26,12월,"박정민, 허성규(각자대표)",http://huvexel.com,경기도
에스케이씨에스,224020,플라스틱제품 제조업,플라스틱 필름,2016-07-25,12월,조경진,http://skcs.co.kr,경기도
제노텍,066830,기타 화학제품 제조업,"원료의약품, 합성유전자, 체외진단 분석기용 시약",2016-07-18,12월,김재종,http://www.genotech.co.kr,대전광역시
에스엘에스바이오,246250,기타 과학기술 서비스업,"신 의료 진단기술 연구개발, 의약품 연구개발 지원, 의약품 품질 관리 사업 등",2016-06-29,12월,이영태,http://www.slabs.co.kr,경기도
씨앤에스링크,245450,통신 및 방송 장비 제조업,"내비게이션, LTE Router, 블랙박스",2016-06-24,12월,안상태,http://www.cns-link.co.kr,경기도
이비테크,208850,기타 전기장비 제조업,전자가속기 제조 및 전자선조사서비스,2016-06-22,12월,김진규,http://www.eb-tech.com,대전광역시
나눔테크,244880,의료용 기기 제조업,"자동심장충격기, 골밀도진단기",2016-06-01,12월,최무진,http://www.nanoomtech.co.kr,광주광역시
