current_price,volume,trade_price,date,start_price,high_price,low_price
467.869995,45700,,19980415,466.940002,470.609985,462.019989
454.149994,44600,,19980416,465.899994,465.899994,447.350006
450.230011,37000,,19980417,450.529999,454.380005,446.459991
435.730011,35700,,19980420,441.220001,441.220001,434.440002
439.209991,40300,,19980421,434.079987,441.170013,429.329987
431.809998,41600,,19980422,437.970001,444.01001,431.809998
416.540009,44600,,19980423,428.76001,428.76001,414.290009
414.559998,55100,,19980424,416.209991,429.480011,412.339996
406.25,44800,,19980427,411.589996,413.850006,406.059998
402.390015,40200,,19980428,406.160004,407.51001,399.480011
417.049988,47100,,19980429,403.339996,418.470001,401.190002
421.220001,48900,,19980430,418.309998,423.470001,414.609985
391.799988,41600,,19980504,401.529999,401.529999,389.820007
376.230011,44200,,19980506,388.799988,388.799988,374.529999
379.470001,50100,,19980507,376.109985,380.450012,369.950012
373.040009,47600,,19980508,376.459991,379.630005,368.570007
361.579987,39300,,19980511,372.290009,372.290009,361.579987
351.859985,43800,,19980512,356.549988,356.799988,348.609985
356.579987,55300,,19980513,349.380005,360.140015,344.570007
362.940002,89200,,19980514,354.690002,372.829987,349.070007
352.829987,63600,,19980515,361.690002,367.450012,350.950012
359,56800,,19980518,353.380005,361.850006,353.380005
362.529999,63500,,19980519,360.160004,362.529999,355.019989
369.170013,79100,,19980520,364.059998,374.970001,364.059998
362.299988,93000,,19980521,370.549988,375.459991,362.299988
353.670013,62100,,19980522,361.089996,361.089996,352.230011
331.899994,52000,,19980525,353.399994,353.399994,331.75
311.98999,48000,,19980526,324.959991,324.959991,308.459991
313.480011,59800,,19980527,313.839996,313.839996,301.220001
323.089996,72200,,19980528,313.809998,331.929993,309.570007
336.630005,70300,,19980529,323.769989,337.890015,323.769989
336.700012,83700,,19980601,334.100006,342.109985,333.01001
324.100006,67700,,19980602,335.480011,335.480011,323.670013
332.459991,85600,,19980603,324.820007,332.609985,324.820007
341.529999,78300,,19980605,334.01001,341.529999,333.369995
345.880005,78800,,19980608,345.380005,353.290009,345.380005
339.220001,76600,,19980609,344.200012,344.200012,334.190002
324.540009,79700,,19980610,341.790009,344.369995,324.540009
328.700012,69600,,19980611,323.140015,328.700012,317.540009
302.089996,73700,,19980612,318.309998,318.309998,301.100006
288.209991,53400,,19980615,300.690002,303.609985,288.209991
280,69400,,19980616,283.410004,291.01001,277.369995
303.809998,78100,,19980617,287.980011,303.809998,287.980011
325.48999,115400,,19980618,310.119995,330.140015,310.119995
313.26001,79500,,19980619,323.049988,324.26001,308.98999
311.269989,60800,,19980622,316.160004,319.549988,311.269989
303.309998,56500,,19980623,308.390015,308.390015,299.279999
301.720001,74100,,19980624,300.320007,304.089996,296.269989
300.570007,62100,,19980625,299.559998,301.420013,294.929993
298.540009,60800,,19980626,299.869995,305.130005,297.940002
298.600006,65500,,19980629,302.799988,305.450012,296.279999
297.880005,52700,,19980630,296.380005,299.290009,293.450012
315.559998,100100,,19980701,298.01001,318.73999,298.01001
311.769989,88600,,19980702,315.23999,320.98999,309.839996
308.529999,64500,,19980703,312.119995,316.089996,306.369995
309.609985,61500,,19980706,306.119995,310.570007,305.059998
317.5,76100,,19980707,310.480011,319.970001,310.480011
318.790009,85600,,19980708,321.48999,323.399994,318.01001
319.019989,85600,,19980709,319.899994,323.660004,316.619995
309.279999,81900,,19980710,319.299988,320.76001,306.410004
301.369995,55500,,19980713,303.73999,304.910004,299.679993
306.730011,59400,,19980714,301.910004,306.790009,301.910004
313.420013,81700,,19980715,307.98999,316.100006,307.98999
330.350006,82200,,19980716,314.679993,330.350006,314.679993
365.179993,121300,,19980720,348.640015,365.179993,345.799988
364.76001,134900,,19980721,366.76001,374.079987,364.23999
362.070007,159600,,19980722,363.190002,366.040009,357.630005
341.459991,120800,,19980723,366.329987,366.329987,341.459991
343.790009,113700,,19980724,341.890015,347.959991,334.26001
329.799988,76300,,19980727,328.829987,332.720001,323.899994
335.329987,67800,,19980728,329.980011,335.329987,329.980011
344.410004,112500,,19980729,337.130005,354.339996,337.130005
344.910004,94200,,19980730,343.970001,346.920013,339.350006
343.329987,133100,,19980731,346.049988,349.049988,340.029999
329.470001,83800,,19980803,336.119995,338.709991,329.440002
333.200012,75600,,19980804,328.100006,335.100006,326.339996
322.829987,91400,,19980805,333.820007,335.359985,317.220001
320.570007,85500,,19980806,320.309998,324.369995,318.100006
321.709991,75800,,19980807,320.660004,324.220001,319.519989
311.950012,75900,,19980810,314.459991,315.790009,308.369995
311.25,72000,,19980811,312.519989,318.920013,311.25
305.350006,67400,,19980812,309.369995,309.369995,301.73999
303.01001,72500,,19980813,305.380005,308.040009,302.589996
304.609985,69200,,19980814,302.730011,305.790009,297.329987
301.619995,63600,,19980817,304.399994,305.769989,301.619995
291.149994,79600,,19980818,296.640015,296.640015,288.059998
301.899994,77500,,19980819,294.130005,303.070007,294.130005
316.589996,91700,,19980820,303.190002,317.640015,301.76001
316.619995,94000,,19980821,317.600006,319.410004,313.910004
305.149994,61800,,19980824,305.390015,308.230011,302.299988
310.230011,72700,,19980825,305.290009,313.299988,305.290009
317.559998,93200,,19980826,311.070007,319.730011,311.070007
313.920013,81300,,19980827,317.130005,317.130005,311.570007
309.320007,79400,,19980828,308.980011,309.320007,302.630005
310.160004,75200,,19980831,307.519989,311.700012,307.369995
309.709991,81800,,19980901,309.73999,312.660004,306.119995
314.399994,84400,,19980902,314.23999,317.190002,311.420013
314.779999,83700,,19980903,314.950012,315.970001,311.579987
314.220001,72700,,19980904,314.470001,318.730011,314.059998
328.220001,89800,,19980907,316.410004,328.220001,316.410004
326.339996,86300,,19980908,329.76001,334.420013,324.769989
329.220001,91600,,19980909,327.429993,329.970001,324.109985
